,donorID,amount,language,age,province,gender,gend,prov_01,prov_02,prov_03,prov_04,lang_01,lang_02,lang_03,donor,age_2
28367,104290,123.0,NL,32.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
28753,104342,30.0,NL,58.0,West Flanders,M,0,0,1,0,1,1,0,0,0,0
29025,104396,150.0,NL,38.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
29166,104415,123.0,FR,85.0,Hainaut,F,1,0,0,0,1,0,1,0,1,1
30400,104597,150.0,NL,73.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
30512,104615,30.0,FR,82.0,Liege,M,0,0,0,0,1,0,1,0,0,0
31154,104692,10.2,NL,26.0,Limburg,M,0,0,0,0,1,1,0,0,0,0
31247,104714,45.0,NL,28.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
31311,104720,60.0,NL,47.0,Limburg,M,0,0,0,0,1,1,0,0,0,1
31465,104752,120.0,NL,52.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
31752,104826,45.0,NL,79.0,Antwerp,M,0,1,0,0,1,1,0,0,0,0
31815,104849,15.0,NL,38.0,East Flanders,M,0,0,0,1,1,1,0,0,0,0
31819,104851,123.0,NL,26.0,Flemish Brabant,F,1,0,0,0,1,1,0,0,1,1
31834,104854,45.0,NL,41.0,Antwerp,F,1,1,0,0,1,1,0,0,0,0
31839,104856,120.0,FR,56.0,Brussels,F,1,0,0,0,1,0,1,0,1,1
32563,104989,15.0,NL,33.0,East Flanders,F,1,0,0,1,1,1,0,0,0,0
32653,105020,300.0,EN,54.0,Missing,M,0,0,0,0,1,0,0,1,1,1
33201,210268,300.0,NL,59.0,West Flanders,F,1,0,1,0,1,1,0,0,1,1
33347,105159,120.0,NL,36.0,West Flanders,M,0,0,1,0,1,1,0,0,1,1
33385,105164,300.0,NL,60.0,East Flanders,F,1,0,0,1,1,1,0,0,1,1
33545,105185,150.0,NL,52.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
34319,105247,135.0,NL,43.0,Brussels,F,1,0,0,0,1,1,0,0,1,1
34638,105285,60.0,NL,34.0,Antwerp,M,0,1,0,0,1,1,0,0,0,1
34732,105316,7.5,FR,34.0,Hainaut,M,0,0,0,0,1,0,1,0,0,0
34750,1474536,183.0,NL,59.0,Antwerp,F,1,1,0,0,1,1,0,0,1,1
35305,105417,6.0,NL,40.0,Flemish Brabant,M,0,0,0,0,1,1,0,0,0,0
